Year,DoY,DOsat,Temp,PAR,Zmix,Wind
2012,106.5659722,108.326087,12.26,182.8141014,1,0.599853173
2012,106.5694444,108.3737542,12.26737542,177.1791099,1,0.645376747
2012,106.5729167,108.4736667,12.27736667,171.5441184,1,0.69090032
2012,106.5763889,108.5,12.28,165.909127,1,0.736423893
2012,106.5798611,108.5,12.28,160.2741355,1,0.781947467
2012,106.5833333,108.5,12.28,154.6391441,1,0.82747104
2012,106.5868056,108.5736667,12.28,156.549686,1,0.91855544
2012,106.5902778,108.6,12.28736667,158.4602279,1,1.00963984
2012,106.59375,108.6,12.29,160.3707699,1,1.10072424
2012,106.5972222,108.6,12.29,162.2813118,1,1.19180864
2012,106.6006944,108.6,12.30473333,164.1918538,0.75,1.28289304
2012,106.6041667,108.6736667,12.31736667,166.1023957,0.75,1.37397744
2012,106.6076389,108.7736667,12.32,168.0129377,0.75,1.46506184
2012,106.6111111,108.8,12.32,169.9234796,1,1.55614624
2012,106.6145833,108.8,12.32,171.8340215,1,1.64723064
2012,106.6180556,108.8736667,12.32,173.7445635,0.750159872,1.73831504
2012,106.6215278,108.9,12.32,175.6551054,0.750079936,1.82939944
2012,106.625,108.9,12.32736667,177.5656474,1,1.92048384
2012,106.6284722,108.9,12.33,177.9682906,1,1.92495424
2012,106.6319444,108.9,12.33,178.3709338,1,1.92942464
2012,106.6354167,108.9,12.33,178.7735769,1,1.93389504
2012,106.6388889,108.9,12.33,179.1762201,0.75,1.93836544
2012,106.6423611,108.9736667,12.34473333,179.5788633,0.75,1.94283584
2012,106.6458333,109,12.34263333,179.9815065,0.75,1.94730624
2012,106.6493056,109,12.34736667,180.3841497,0.750159872,1.95177664
2012,106.6527778,109.0736667,12.34263333,180.7867929,1,1.95624704
2012,106.65625,109.1,12.36202658,181.1894361,1,1.96071744
2012,106.6597222,109.2471572,12.37735786,181.5920793,1,1.96518784
2012,106.6631944,109.3,12.38,181.9947225,1,1.96965824
2012,106.6666667,109.3736667,12.38,182.3973657,1,1.97412864
2012,106.6701389,109.4,12.38734219,174.1351274,1,1.833050267
2012,106.6736111,109.4735786,12.40471572,165.8728891,1,1.691971893
2012,106.6770833,109.5736667,12.41,157.6106508,1,1.55089352
2012,106.6805556,109.6,12.41736667,149.3484125,1,1.409815147
2012,106.6840278,109.6,12.42736667,141.0861742,1,1.268736773
2012,106.6875,109.6,12.43,132.823936,0.75,1.1276584
2012,106.6909722,109.6,12.44473333,124.5616977,0.75,0.986580027
2012,106.6944444,109.6,12.45,116.2994594,0.75,0.845501653
2012,106.6979167,109.6736667,12.45736667,108.0372211,0.999880096,0.70442328
2012,106.7013889,109.7736667,12.45263333,99.77498281,1,0.563344907
2012,106.7048611,109.8,12.45736667,91.51274452,1,0.422266533
2012,106.7083333,109.8,12.46,83.25050624,1,0.28118816
2012,106.7118056,109.8,12.46,77.50237204,1,0.307861547
2012,106.7152778,109.8,12.46735786,71.75423784,1,0.334534933
2012,106.71875,109.8,12.47,66.00610364,1,0.36120832
2012,106.7222222,109.8736667,12.47736667,60.25796944,1,0.387881707
2012,106.7256944,109.826087,12.4726087,54.50983524,1,0.414555093
2012,106.7291667,109.8737542,12.47737542,48.76170104,1,0.44122848
2012,106.7326389,109.9,12.48,43.01356684,1,0.467901867
2012,106.7361111,109.9,12.48,37.26543264,1,0.494575253
2012,106.7395833,109.9,12.48736667,31.51729844,1,0.52124864
2012,106.7430556,109.9,12.49736667,25.76916424,1,0.547922027
2012,106.7465278,109.9,12.5073913,20.02103005,1,0.574595413
2012,106.75,109.9737542,12.51,14.27289585,1,0.6012688
2012,106.7534722,109.9263333,12.51,13.18253808,1,0.711203387
2012,106.7569444,109.9736667,12.51736667,12.09218032,1,0.821137973
2012,106.7604167,109.9263333,12.52,11.00182256,1,0.93107256
2012,106.7638889,109.9,12.51263333,9.911464798,1,1.041007147
2012,106.7673611,109.7526667,12.51,8.821107035,1,1.150941733
2012,106.7708333,109.7736667,12.51736667,7.730749273,1,1.26087632
2012,106.7743056,109.8,12.51263333,6.640391511,1,1.370810907
2012,106.7777778,109.8,12.51736667,5.550033749,1,1.480745493
2012,106.78125,109.8,12.52,4.459675987,1,1.59068008
2012,106.7847222,109.8,12.52,3.369318225,1,1.700614667
2012,106.7881944,109.8,12.52,2.278960463,1,1.810549253
2012,106.7916667,109.8,12.52,1.188602701,1,1.92048384
2012,106.7951389,109.7262458,12.51262458,1.122569217,1,1.954943173
