DateTime	uSt(mm/s)	wSt(mm/s)	k(w,u)600(m/day)	k(w)_600(m/day)
2011-07-16 12:00	2.3729	0	0.92402	0
2011-07-16 18:00	2.0906	0	0.81509	0
2011-07-17 00:00	2.4451	2.3123	0.9535	0.2807
2011-07-17 06:00	2.6459	0	1.0286	0
2011-07-17 12:00	4.1179	0	1.5759	0
2011-07-17 18:00	6.1843	5.0263	2.2576	0.50042
2011-07-18 00:00	1.4453	5.2955	0.62326	0.47124
2011-07-18 06:00	1.1415	0	0.44609	0
2011-07-18 12:00	1.0244	0	0.40037	0
2011-07-18 18:00	0.28897	0	0.11298	0
2011-07-19 00:00	0.92438	4.7603	0.51425	0.47957
2011-07-19 06:00	0.78917	1.5728	0.32357	0.20886
2011-07-19 12:00	2.2186	0	0.86443	0
2011-07-19 18:00	3.2166	3.7216	1.2477	0.39785
2011-07-20 00:00	2.0051	5.4289	0.80784	0.4777
2011-07-20 06:00	1.9998	1.9203	0.7817	0.24209
2011-07-20 12:00	4.2591	0	1.6252	0
2011-07-20 18:00	6.284	0	2.28	0
2011-07-21 00:00	6.1067	5.2353	2.2301	0.46277
2011-07-21 06:00	6.3876	6.8995	2.3132	0.56988
2011-07-21 12:00	7.8845	0	2.6882	0
2011-07-21 18:00	1.9863	6.0249	0.8016	0.47935
2011-07-22 00:00	1.7478	7.8429	0.75989	0.58469
2011-07-22 06:00	1.6784	5.4372	0.68736	0.44417
2011-07-22 12:00	4.5136	0	1.7146	0
2011-07-22 18:00	2.1183	2.396	0.82762	0.25747
2011-07-23 00:00	1.1469	5.5442	0.55514	0.48346
2011-07-23 06:00	4.4508	7.3553	1.698	0.55718
2011-07-23 12:00	6.7645	7.3879	2.419	0.55966
2011-07-23 18:00	3.6093	6.1244	1.3957	0.48667
2011-07-24 00:00	3.3324	8.0364	1.2996	0.56474
2011-07-24 06:00	2.1405	5.8198	0.85428	0.46841
2011-07-24 12:00	3.8549	0	1.4804	0
2011-07-24 18:00	3.9115	7.787	1.5094	0.58214
2011-07-25 00:00	1.1681	8.1382	0.62124	0.56995
2011-07-25 06:00	3.1671	6.2079	1.2323	0.46553
2011-07-25 12:00	7.9309	0	2.7038	0
2011-07-25 18:00	5.6954	7.8107	2.1097	0.5531
